mask,slit_no,obj,c2020_id,ypix_mospy,mospy_notes,pypeit_notes,wp,mia,keep,confidence,cquality,zguess,zmeasured,wave,ypix_slit,photoz,photoz_source,MUV,serendip_ra,serendip_dec,pypeit_ref_idx,pypeit_slit,                    pypeit_name , maskdef_id ,     objra ,  objdec , spat_pixpos , spat_fracpos , box_width , opt_fwhm ,   s2n , maskdef_extract 
wmmc05,8,CAND_L54757,,,l@9875?onsky,,1,,,1,0,7.12,,9875,24,,ccand,,,,,1161,SPAT1163-SLIT1161-DET01,8,150.15604,2.42202,1163,0.571,1,0.5,0.1,TRUE
wmmc05,11,CAND_L53570,,,"fc,l@10244?break?",,1,,,0,1,7.42,,10244,22,,ccand,,,,,1047,SPAT1048-SLIT1047-DET01,11,150.159,2.4159,1048,0.536,1,0.5,0.31,TRUE
wmmc05,13,CAND_M54205,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,961,SPAT0955-SLIT0961-DET01,13,150.18533,2.41918,955,0.38,1,0.5,0.09,TRUE
wmmc05,15,CAND_L51252,,1275,"fc,l@10500?",,1,,,1,-1,7.63,,10500,46,,ccand,,,,,863,SPAT0863-SLIT0863-DET01,15,150.16233,2.40398,863,0.5,1,0.5,0.39,TRUE
wmmc05,17,CAND_L50681,,,l@9768,,1,,,1,1,7.03,,9768,42,,ccand,,,,,766,SPAT0766-SLIT0766-DET01,17,150.17487,2.40167,766,0.5,1,0.5,-0.08,TRUE
wmmc05,18,CAND_M48604,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,706,SPAT0697-SLIT0706-DET01,18,150.16342,2.3916,697,0.32,1,0.5,-0.52,TRUE
wmmc05,19,CAND_L47624,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,646,SPAT0655-SLIT0646-DET01,19,150.15754,2.38652,655,0.68,1,0.5,0.04,TRUE
wmmc05,27,CAND_B43874,,465,"l@11005?,l@10442?l@10073onsky",,1,,,1,1,7.286,,10073,59,,ccand,,,,,303,SPAT0311-SLIT0303-DET01,27,150.16846,2.36693,311,0.66,1,0.5,0,TRUE
wmmc05,28,M_WP956582,956582,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,254,SPAT0254-SLIT0254-DET01,28,150.20254,2.37532,254,0.481,1,0.5,0.04,TRUE
wmmc05,30,CAND_B43289,,225,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,168,SPAT0160-SLIT0168-DET01,30,150.18946,2.36367,160,0.34,1,0.5,0.12,TRUE
wmmc05,31,CAND_L43310,,,l@10740?,,1,,,1,-1,7.83,,10740,27,,ccand,,,,,120,SPAT0119-SLIT0120-DET01,31,150.19683,2.36372,119,0.481,1,0.5,0.07,TRUE
wmmc05,32,L_WP899972,899972,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,72,SPAT0067-SLIT0072-DET01,32,150.20829,2.36406,67,0.408,1,0.5,0.13,TRUE
wmmc05,33,B_WP786362,786362,27,"l@10694?,l@10551?,l@9821?",,1,,,1,-1,7.67,,10551,26,,c2020,,,,,24,SPAT0023-SLIT0024-DET01,33,150.178,2.34968,23,0.481,1,0.5,0.3,TRUE
wmmc06,4,rb_20_919,_678784,,"l@10847?onsky,l@9833?",,1,,0,0,-1,,,,,,c2020,,,,,1339,SPAT1339-SLIT1339-DET01,4,150.0955,2.52343,1339,0.5,1,0.35,0,TRUE
wmmc06,5,B_WP642235,642235,,l@10074(fat!weirdneg),,1,,0,0,-1,,,,,,c2020,,,,,1301,SPAT1302-SLIT1301-DET01,5,150.09737,2.52078,1302,0.536,1,0.35,0.06,TRUE
wmmc06,11,B_WP676249,676249,,l@10962?,,1,,0,0,-1,,,,,,c2020,,,,,1022,SPAT1028-SLIT1022-DET01,11,150.054,2.51304,1028,0.625,1,0.35,0,TRUE
wmmc06,15,CAND_M72964,,,"l@10806(pypeit),10795(mospy)",,1,,,1,1,7.87,,10795,54,,ccand,,,,,852,SPAT0848-SLIT0852-DET01,15,150.08083,2.49351,848,0.408,1,0.35,0.06,TRUE
wmmc06,16,CAND_L72699,,,l@10162?l@9591?9843?(pypeit),,1,,,0,0,7.09,,9843,?,,ccand,,,,,793,SPAT0796-SLIT0793-DET01,16,150.0605,2.49507,796,0.56,1,0.35,0,TRUE
wmmc06,17,CAND_M83995,,,l@9911?,,1,,,1,0,7.15,,9911,61,,ccand,,,,,734,SPAT0742-SLIT0734-DET01,17,150.07362,2.48759,742,0.673,1,0.35,0,TRUE
wmmc06,18,CAND_M75037,,,"l@11206?,l@11190?,l@10541?",,1,,,1,0,8.23,,11228,28,,ccand,,,,,674,SPAT0667-SLIT0674-DET01,18,150.06675,2.48313,667,0.347,1,0.35,0.09,TRUE
wmmc06,19,CAND_L74733,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,626,SPAT0626-SLIT0626-DET01,19,150.06071,2.48216,626,0.5,1,0.35,0.01,TRUE
wmmc06,20,L_WP276587,276587,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,577,SPAT0580-SLIT0577-DET01,20,150.05246,2.4811,580,0.56,1,0.35,-0.04,TRUE
wmmc06,22,rb_15_417416,_196040,,l@10269(pypeit),,1,,,0,0,7.45,,10269,41,,c2020,,,,,480,SPAT0488-SLIT0480-DET01,22,150.05054,2.47514,488,0.653,1,0.35,0.1,TRUE
wmmc06,23,CAND_M63170,,,fc,,1,,0,0,-1,7.01,,9751,49,,ccand,,,,,422,SPAT0421-SLIT0422-DET01,23,150.06737,2.4654,421,0.49,1,0.35,0.21,TRUE
wmmc06,24,CAND_L62202,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,362,SPAT0370-SLIT0362-DET01,24,150.07737,2.45907,370,0.653,1,0.35,0.02,TRUE
wmmc06,25,rb_15_409410,_568422,,l@10799?,,1,,,1,-1,7.88,,10799,22,,c2020,,,,,314,SPAT0316-SLIT0314-DET01,25,150.0595,2.45972,316,0.571,1,0.35,0.1,TRUE
